0,0.003,1,1,1,1,1
1,0.003,0.992172,0.774389,0.750929,0.636319,0.594985
2,0.003,0.967409,0.747265,0.718248,0.568477,0.534873
3,0.003,0.905653,0.721486,0.685573,0.532772,0.510727
4,0.003,0.854283,0.69499,0.658992,0.516597,0.501189
5,0.003,0.71243,0.668761,0.630572,0.509164,0.495896
6,0.003,0.625833,0.626716,0.598434,0.504931,0.494274
7,0.003,0.560644,0.564939,0.553858,0.504122,0.495555
8,0.003,0.301838,0.487206,0.496252,0.499489,0.499434
9,0.003,0.253051,0.407379,0.434716,0.49621,0.501531
10,0.003,0.219532,0.336184,0.377911,0.491229,0.504183
11,0.003,0.198299,0.288245,0.33063,0.482043,0.501746
12,0.003,0.172572,0.255983,0.288562,0.467734,0.492626
13,0.003,0.150746,0.225062,0.251794,0.431445,0.469071
14,0.003,0.085539,0.201395,0.22353,0.359467,0.40391
15,0.003,0,0,0,0,0
