-0.021701, 0.000093, 0.021701, 0.000093, 1.000000
0.032808, 0.000229, -0.032808, 0.000229, 1.500000
0.028916, 0.000708, -0.028916, 0.000708, 2.000000
-0.089608, 0.000590, 0.089608, 0.000590, 2.500000
-0.025270, 0.000724, 0.025270, 0.000724, 3.000000
0.000378, 0.000582, -0.000378, 0.000582, 3.500000
-0.004299, 0.000793, 0.004299, 0.000793, 4.000000
-0.016467, 0.000428, 0.016467, 0.000428, 4.500000
0.003992, 0.001347, -0.003992, 0.001347, 5.000000
-0.028362, 0.000991, 0.028362, 0.000991, 5.500000
